Date,Close,High,Low,Open,Volume,EMA_8,EMA_21,EMA_50,EMA_200,EMA_TREND_SCORE,RSI_14,SMI
2023-02-15,1110.1768798828125,1112.5735854842064,1083.2664969637603,1084.6358877756606,33503591,1080.261628408769,1089.9023424089125,1118.7429354695835,1142.267499836315,-0.008683944130741795,57.791778894455405,39.59775722709085
2023-02-16,1109.3095703125,1124.7163944448257,1107.0270912647763,1118.1656324865594,17264487,1086.716726609598,1091.6666358546931,1118.3729995810704,1141.9395602390632,-0.00446215319651546,66.9345943226172,50.92965522747818
2023-02-17,1113.9429931640625,1117.2754874405753,1100.4306882070916,1104.7217922905263,11809520,1092.7670080661458,1093.691759246454,1118.199273839227,1141.660987432347,-0.0008301602379862994,65.38528806216075,62.08589484342557
2023-02-20,1102.16552734375,1118.3026298698114,1100.2025445254703,1116.13425652598,8836937,1094.8555679056135,1094.4621018007535,1117.5704994668554,1141.267997779724,0.0,60.760697968614416,51.920540869104535
2023-02-21,1111.158447265625,1116.9558691842672,1101.22954869757,1106.547846833629,13311592,1098.478429985616,1095.979951388469,1117.319046439356,1140.9684002621707,0.0,66.4054684894965,58.63751942551375
2023-02-22,1085.9598388671875,1109.2868172204337,1084.2023673241313,1107.4380609994969,11024335,1095.6965208481874,1095.0690320683525,1116.0892735933885,1140.4210513925689,0.0,57.88680133805333,29.468199045083853
2023-02-23,1080.7557373046875,1093.1953270218976,1077.9483712962124,1085.5490279902117,9851910,1092.3763467274096,1093.767823453474,1114.7036447193218,1139.8273666752766,-0.0012875034367475441,55.683500380939606,8.300312518270832
2023-02-24,1088.1510009765625,1093.8344379808216,1080.9840672539892,1082.810002251087,9434053,1091.4373810049992,1093.2572032283,1113.662364572547,1139.313173981757,-0.001672398611651956,60.70852185713516,7.2518824166854055
2023-02-27,1080.91552734375,1090.8672478016565,1073.543202799622,1087.3750050988056,11199715,1089.0991913024993,1092.135232693341,1112.3781748773,1138.7321028709312,-0.002808768413478679,58.90983212506971,-6.94251156472537
2023-02-28,1060.2362060546875,1080.5274845520237,1056.1734344203933,1075.5516247048563,21994038,1082.6851945807634,1089.2353211807363,1110.333391786217,1137.951049171267,-0.0061779880394265355,45.76245055967489,-45.74516603070522
2023-03-01,1069.982421875,1070.712820002187,1060.5557097259696,1070.0280642112666,11551145,1079.8623562017049,1087.4850576074875,1108.7510008093063,1137.2747444220504,-0.007124137041826264,48.331742278488456,-52.5213535589871
2023-03-02,1061.8338623046875,1073.5202315216086,1059.8024162422653,1066.8325430044115,9333535,1075.8560242245899,1085.1531307617784,1106.9111130248116,1136.524088878594,-0.0087557073354294,48.53829504013687,-67.77080088186293
2023-03-03,1088.927001953125,1092.6018137297042,1068.909698230002,1072.3789987479977,14643807,1078.760685942042,1085.4962099609916,1106.2058537670982,1136.0504860236144,-0.006185468821021517,57.592061222553404,-36.28663194926281
2023-03-06,1099.5633544921875,1106.8216933590495,1095.5918675399987,1095.5918675399987,10171916,1083.3835011754077,1086.7750412820094,1105.9453635994548,1135.687429988476,-0.003084442649662549,54.05619232885104,-4.933025602472477
2023-03-08,1103.5120849609375,1104.265304210858,1088.7443751303776,1099.5632986303583,15782657,1087.8565197944142,1088.2965907073665,1105.8499409077483,1135.3672773016347,-0.00039879120396568094,47.80122330563149,16.565822269448134
2023-03-09,1076.9896240234375,1103.3066574341256,1075.095225544964,1102.8958764013148,16235128,1085.4416540675304,1087.2686846451911,1104.7181637750302,1134.7864051297124,-0.0016964235651920705,40.88099572851809,-6.977912609843166
2023-03-10,1060.3046875,1070.0280749321848,1056.8124450060086,1068.8868957671646,13334091,1079.855661496968,1084.8174121774464,1102.9764588230682,1134.0452935115063,-0.00467955177315805,35.82973168383053,-45.82114655738182
2023-03-13,1042.866455078125,1070.027990166369,1038.5297089513683,1063.1805534779228,12771592,1071.6358378483362,1081.0036888047807,1100.6192037742471,1133.138041387791,-0.008982790568081624,34.78920604701845,-69.60501452214908
2023-03-14,1038.9635009765625,1052.2018311560978,1035.8136967949142,1040.812257084253,16027522,1064.3753185434975,1077.18185354767,1098.2013330762989,1132.2009812841968,-0.012326260732099935,30.984751688451652,-80.69518955025515
2023-03-15,1021.2056884765624,1049.1660857467195,1016.8004787547292,1042.6839083296516,21728555,1054.7820674175118,1072.0931112684784,1095.181896033172,1131.0965505099916,-0.016951574052423528,32.24878326935122,-85.97418123326254
2023-03-16,1016.11572265625,1028.9432712307178,1005.2967990221152,1023.9218900002588,18363159,1046.1895463594537,1067.0042577582758,1092.0812617830968,1129.952462670651,-0.020484587468452775,32.26897610754651,-81.92432415383611
2023-03-17,1014.8377075195312,1028.007574780085,1010.0901194945558,1024.7208434439497,34014213,1039.222471061693,1062.261844100208,1089.0521027923687,1128.807042221386,-0.02270251969137783,29.191533208765307,-81.54555525366881
2023-03-20,1004.8631591796876,1013.422485602896,995.1625932582816,1011.1400066065016,19524589,1031.5870684212475,1057.0437818347061,1085.7505755918714,1127.5737697533095,-0.02533351250954408,28.744595065773552,-82.12459833740093
2023-03-21,1036.1102294921875,1038.0732119172071,1012.0528577510236,1012.943003930346,21400360,1032.5922153259007,1055.1407316217499,1083.8038953526682,1126.663684775587,-0.021762661591422074,43.63326525484334,-53.41135075299387
2023-03-22,1039.26025390625,1046.0392280531037,1036.2473765076484,1043.0948141638405,10920094,1034.0740016770894,1053.6970518294318,1082.057085884181,1125.79399889629,-0.01888174793424987,41.600126560816605,-36.9316302843335
2023-03-23,1026.1131591796875,1036.2016854580306,1023.9447859117854,1035.3343603002547,16249370,1032.3049255665555,1051.1894252249094,1079.8632064055735,1124.802149744881,-0.01840391528888573,40.49330687531594,-40.779811810983844
2023-03-24,1005.7989501953124,1027.117362031003,1003.3795441878092,1024.9489888672188,12375945,1026.4147088173904,1047.063018404037,1076.958725769877,1123.6180383065769,-0.020529261422113136,27.048167554089616,-60.95012454371664
2023-03-27,1021.4338989257812,1028.9432703448797,1004.3838307288752,1012.28122236079,14054323,1025.3078621748107,1044.7330984514683,1074.7812815799125,1122.6012807007978,-0.01901761464651479,29.00772897899745,-56.43865277523591
2023-03-28,1026.2044677734375,1030.0846702786253,1021.1829653124684,1024.8349561252708,12576424,1025.5071078633944,1043.0486774807382,1072.8763084894626,1121.6421084328638,-0.017093639881927133,29.319875391035737,-49.57853974312707
2023-03-29,1020.1329345703124,1024.7435346224438,1009.3595932977564,1022.095796356596,18804065,1024.3128471315983,1040.965428125245,1070.8079408847902,1120.6320669018933,-0.016323932332074687,32.92201258968535,-42.95255221039448
2023-03-31,1064.116455078125,1069.7770709600843,1029.2629756900762,1029.3999027039445,28171201,1033.1580933419375,1043.070066939143,1070.5455296766856,1120.069722505637,-0.00931474515773546,50.98362865923343,14.0972372374291
2023-04-03,1064.299072265625,1072.3106311531849,1056.7896998650788,1070.4846960590223,10293043,1040.0783108805347,1044.9999765142777,1070.3005705625264,1119.5147906624527,-0.004624325776462479,56.07139497955637,45.388956973673174
2023-04-05,1061.74267578125,1071.8540232011114,1053.8453439607506,1071.8540232011114,16262928,1044.8926141918048,1046.5220400840024,1069.9649668456136,1118.9399437482118,-0.0015346711866871113,56.50245278929428,58.72451332848566
2023-04-06,1068.8638916015625,1074.592970502133,1058.2275373074351,1058.2275373074351,18435046,1050.2195647273065,1048.5531174946896,1069.9217874242781,1118.4416745726232,0.0,64.48386287786718,72.2098738720821
2023-04-10,1061.2861328125,1072.9496819536614,1059.779694186431,1072.7671126043012,12961408,1052.6788020795718,1049.7106643417633,1069.5831343022476,1117.8729627143136,0.0,63.523303867580985,69.34569891997612
